╔══════════════════════════════════════════════════════════╗
║  岱境235 金融数据流转压测 — tidb_adapter.go 直压          ║
╠══════════════════════════════════════════════════════════╣
║  并发: 20  goroutine    持续: 15m0s             ║
║  目标: MySQL (tidb_adapter → batch INSERT → InnoDB)       ║
╚══════════════════════════════════════════════════════════╝

时间               总发送         TPS       成功/失败     Avg延迟     P99延迟    吞吐MB/s
267s       203662388      630100  203662387/0            8µs       0µs     70.42
268s       204440937      778549  204441130/0            7µs       0µs     70.44
269s       205159173      718236  205159173/0            8µs       0µs     70.43
270s       205931367      772194  205932130/0            6µs       0µs     70.44
271s       206663290      731923  206663890/0           22µs       0µs     70.43
272s       207344552      681262  207344552/0           22µs       0µs     70.41
273s       208175535      830983  208175983/0            7µs       0µs     70.44
274s       209033598      858063  209033844/0            7µs       0µs     70.48
275s       209811773      778175  209812350/0            6µs       0µs     70.49
276s       210571657      759884  210571727/0           10µs       0µs     70.49
277s       211124825      553168  211126358/0           10µs       0µs     70.43
278s       211853599      728774  211853867/0            6µs       0µs     70.42
279s       212571479      717880  212571795/0            7µs       0µs     70.41
280s       213333520      762041  213335364/0            7µs       0µs     70.42
281s       214218740      885220  214219070/0            6µs       0µs     70.46
282s       215005476      786736  215005893/0           12µs       0µs     70.48
283s       215725637      720161  215730555/0           18µs       0µs     70.47
284s       216479713      754076  216480532/0            9µs       0µs     70.47
285s       217276876      797163  217278190/0            6µs       0µs     70.49
286s       217999244      722368  217999904/0           11µs       0µs     70.48
287s       218635054      635810  218635647/0           15µs       0µs     70.44
288s       219285293      650239  219285368/0            9µs       0µs     70.41
289s       219995521      710228  219995860/0           13µs       0µs     70.40
290s       220841374      845853  220845327/0           11µs       0µs     70.43
291s       221716544      875170  221716539/0            7µs       0µs     70.47
292s       222429668      713124  222432505/0           19µs       0µs     70.46
293s       223109690      680022  223110001/0            9µs       0µs     70.44
294s       223909463      799773  223909542/0           12µs       0µs     70.46
295s       224652725      743262  224652815/0           18µs       0µs     70.46
296s       225366980      714255  225367081/0           19µs       0µs     70.45
297s       226028776      661796  226029040/0           22µs       0µs     70.42
298s       226609624      580848  226610125/0            9µs       0µs     70.37
299s       227222641      613017  227222641/0            6µs       0µs     70.33
300s       227762331      539690  227762682/0            9µs       0µs     70.26
301s       228396997      634666  228397257/0           12µs       0µs     70.23
302s       229048374      651377  229048863/0            7µs       0µs     70.20
303s       229664991      616617  229665775/0            7µs       0µs     70.16
304s       230459815      794824  230460246/0            6µs       0µs     70.18
305s       231192954      733139  231192954/0            8µs       0µs     70.17
306s       231750773      557819  231750878/0           18µs       0µs     70.12
307s       232490329      739556  232490523/0            7µs       0µs     70.12
308s       232993571      503242  232993639/0           20µs       0µs     70.04
309s       233681548      687977  233681622/0            7µs       0µs     70.03
310s       234514881      833333  234515063/0            7µs       0µs     70.05
311s       235239796      724915  235239796/0           17µs       0µs     70.05
312s       236008154      768358  236008431/0           18µs       0µs     70.06
313s       236705301      697147  236705920/0            9µs       0µs     70.04
314s       237493761      788460  237493761/0           21µs       0µs     70.06
315s       238232675      738914  238232886/0           19µs       0µs     70.06
316s       238995381      762706  238995775/0           12µs       0µs     70.06
317s       239634634      639253  239635677/0           15µs       0µs     70.03
318s       240283228      648594  240283228/0           14µs       0µs     70.00
319s       240973147      689919  240973146/0           15µs       0µs     69.99
320s       241733993      760846  241734130/0            6µs       0µs     69.99
321s       242499423      765430  242499630/0            9µs       0µs     70.00
322s       243249648      750225  243249940/0            8µs       0µs     70.00
323s       243931156      681508  243931229/0            8µs       0µs     69.99
324s       244678785      747629  244679302/0            6µs       0µs     69.99
325s       245528853      850068  245529232/0           10µs       0µs     70.02
326s       246223187      694334  246223307/0           27µs       0µs     70.01
327s       246913825      690638  246913897/0            8µs       0µs     69.99
328s       247596975      683150  247597412/0           10µs       0µs     69.97
329s       248231052      634077  248231745/0            5µs       0µs     69.94
330s       248828941      597889  248828941/0           12µs       0µs     69.90
331s       249314240      485299  249315473/0           50µs       0µs     69.82
332s       249797762      483522  249797819/0            5µs       0µs     69.76
333s       250504811      707049  250504975/0            8µs       0µs     69.75
334s       251236421      731610  251236843/0            5µs       0µs     69.75
335s       251949018      712597  251949018/0            9µs       0µs     69.74
336s       252526588      577570  252526728/0           13µs       0µs     69.69
337s       253048707      522119  253048793/0            9µs       0µs     69.63
338s       253679209      630502  253679619/0            8µs       0µs     69.60
339s       254332957      653748  254333061/0            7µs       0µs     69.58
340s       255099052      766095  255100012/0           14µs       0µs     69.59
341s       255879033      779981  255879233/0            8µs       0µs     69.60
342s       256661035      782002  256661650/0            7µs       0µs     69.61
343s       257405632      744597  257405632/0            9µs       0µs     69.61
344s       258133927      728295  258134276/0            9µs       0µs     69.61
345s       258693005      559078  258693350/0           24µs       0µs     69.56
346s       259247021      554016  259247021/0           27µs       0µs     69.51
347s       259883324      636303  259883324/0           13µs       0µs     69.48
348s       260509108      625784  260509705/0           27µs       0µs     69.46
349s       260994249      485141  260994705/0           25µs       0µs     69.39
350s       261637362      643113  261637716/0           10µs       0µs     69.36
351s       262391630      754268  262391882/0            6µs       0µs     69.37
352s       263136073      744443  263136094/0            7µs       0µs     69.37
353s       263901086      765013  263901615/0            8µs       0µs     69.38
354s       264636404      735318  264636948/0            6µs       0µs     69.38
355s       265321452      685048  265321452/0           30µs       0µs     69.36
356s       265925280      603828  265925369/0           36µs       0µs     69.33
357s       266434012      508732  266434012/0           14µs       0µs     69.27
358s       267019985      585973  267020076/0           32µs       0µs     69.23
359s       267505325      485340  267521554/0           16µs       0µs     69.15
360s       268007612      502287  268008079/0           20µs       0µs     69.11
361s       268680773      673161  268683476/0           16µs       0µs     69.09
362s       269257774      577001  269258248/0           22µs       0µs     69.05
363s       270038427      780653  270038943/0           10µs       0µs     69.06
364s       270766220      727793  270770321/0           13µs       0µs     69.06
365s       271539497      773277  271539497/0            5µs       0µs     69.07
366s       272298880      759383  272298920/0            9µs       0µs     69.08
367s       273004676      705796  273004676/0            7µs       0µs     69.07
368s       273747902      743226  273747951/0            6µs       0µs     69.08
369s       274447413      699511  274447499/0           13µs       0µs     69.07
370s       275224133      776720  275224449/0           13µs       0µs     69.08
371s       276062017      837884  276062395/0            5µs       0µs     69.11
372s       276819142      757125  276819454/0            7µs       0µs     69.11
373s       277647763      828621  277647864/0           10µs       0µs     69.14
374s       278451910      804147  278452360/0            6µs       0µs     69.15
375s       279210631      758721  279210954/0            8µs       0µs     69.16
376s       279963181      752550  279963212/0           25µs       0µs     69.17
377s       280637385      674204  280637637/0            6µs       0µs     69.15
378s       281428024      790639  281429270/0            8µs       0µs     69.17
379s       282149151      721127  282149332/0           14µs       0µs     69.17
380s       282889259      740108  282889810/0            9µs       0µs     69.17
381s       283698805      809546  283699135/0            7µs       0µs     69.18
382s       284441233      742428  284441667/0           18µs       0µs     69.19
383s       285271790      830557  285271790/0            5µs       0µs     69.21
384s       286073547      801757  286074346/0            9µs       0µs     69.23
385s       286907973      834426  286908440/0           11µs       0µs     69.25
386s       287644672      736699  287645001/0            8µs       0µs     69.26
387s       288322673      678001  288323090/0            6µs       0µs     69.24
388s       289071737      749064  289071846/0            7µs       0µs     69.25
389s       289911988      840251  289912365/0            6µs       0µs     69.27
390s       290552567      640579  290552879/0           23µs       0µs     69.25
391s       291009976      457409  291010222/0           23µs       0µs     69.18
392s       291844061      834085  291845455/0            7µs       0µs     69.21
393s       292655024      810963  292655276/0            6µs       0µs     69.23
394s       293554090      899066  293554090/0            9µs       0µs     69.27
395s       294384000      829910  294384679/0            8µs       0µs     69.29
396s       295184583      800583  295184721/0           10µs       0µs     69.30
397s       295936231      751648  295938144/0            8µs       0µs     69.31
398s       296811662      875431  296811695/0            9µs       0µs     69.34
399s       297653389      841727  297654074/0            6µs       0µs     69.37
400s       298415396      762007  298415452/0            8µs       0µs     69.37
401s       299410364      994968  299410613/0            6µs       0µs     69.44
402s       300347477      937113  300347477/0            9µs       0µs     69.48
403s       301345795      998318  301346006/0            5µs       0µs     69.54
404s       302388103     1042308  302389441/0            5µs       0µs     69.62
405s       303388248     1000145  303389430/0            8µs       0µs     69.67
406s       304205277      817029  304206746/0            6µs       0µs     69.69
407s       305093091      887814  305093352/0            6µs       0µs     69.73
408s       306132969     1039878  306133095/0            8µs       0µs     69.80
409s       307092752      959783  307092752/0            9µs       0µs     69.85
410s       308072724      979972  308073327/0            7µs       0µs     69.91
